nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
rails/rails,2008-04-11T02:19:47Z,2022-08-25T14:23:52Z,79,Ruby,19975,15791,15430
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2022-08-25T14:36:17Z,29,Python,9480,9585,8048
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,2022-08-25T13:17:32Z,0,,188,102,46
grafana/grafana,2013-12-11T15:59:56Z,2022-08-25T12:52:53Z,303,TypeScript,23113,25587,23233
enaqx/awesome-react,2014-08-06T05:31:44Z,2022-08-25T14:11:17Z,0,,764,88,70
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2022-08-25T14:22:24Z,153,JavaScript,351,6186,5242
nestjs/nest,2017-02-04T20:12:52Z,2022-08-25T14:37:50Z,74,TypeScript,4260,4317,4277
mermaid-js/mermaid,2014-11-01T23:52:32Z,2022-08-25T14:27:03Z,93,JavaScript,1174,1972,1209
azl397985856/leetcode,2018-03-30T09:13:51Z,2022-08-25T13:16:21Z,40,JavaScript,234,240,238
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,2022-08-25T14:20:47Z,0,,175,30,29
tauri-apps/tauri,2019-07-13T09:09:37Z,2022-08-25T14:23:11Z,420,Rust,2495,1699,1497
spring-projects/spring-framework,2010-12-08T04:04:45Z,2022-08-25T14:28:46Z,234,Java,718,22361,21144
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2022-08-25T14:20:47Z,0,JavaScript,302,179,80
tiangolo/fastapi,2018-12-08T08:21:47Z,2022-08-25T14:28:05Z,128,Python,941,3050,1945
necolas/normalize.css,2011-05-04T10:20:25Z,2022-08-25T14:30:50Z,0,CSS,56,490,453
psf/requests,2011-02-13T18:38:17Z,2022-08-25T14:27:54Z,4,Python,1455,3620,3438
remix-run/react-router,2014-05-16T22:22:51Z,2022-08-25T12:38:27Z,234,TypeScript,1485,6530,6447
ionic-team/ionic-framework,2013-08-20T23:06:02Z,2022-08-25T14:17:44Z,399,TypeScript,3712,20241,19700
apache/superset,2015-07-21T18:55:34Z,2022-08-25T14:28:04Z,90,TypeScript,9363,8398,7263
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2022-08-25T14:19:16Z,0,Java,0,231,147
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2022-08-25T13:48:49Z,0,,345,77,58
